 538: (1+2*7)*(17+21)-32
 539: 1+2+(7+17)*21+32
 540: (1+2*7)*(21-17+32)
 541: 1-2*((7-21)*17-32)
 542: 1*(2+7+21)*17+32
 543: 1+(2+7+21)*17+32
 544: ((1+2)*7+17-21)*32
 545: (1+2)*7/21+17*32
 546: (1/(2-7+21)+17)*32
 547: (1+2+7)*(21+32)+17
 548: (1/2+21)*(7+17)+32
 549: (1-2+7)*32+17*21
 550: 1*2/7*21+17*32
 551: 1+2/7*21+17*32
 552: 1-2-7*17+21*32
 553: (1-2)*7*17+21*32
 554: (1+2)*(7*21+32)+17
 555: 1*2-7*17+21*32
 556: 1+2-7*17+21*32
 557: 1-2-7+17*32+21
 558: (1-2)*7+17*32+21
 559: (1+2+7+21)*17+32
 560: 1*2-7+17*32+21
 561: 1+2-7+17*32+21
 562: 1-(2-21/7-32)*17
 563: 1*(2*7+21)*17-32
 564: 1*2*7*(17+21)+32
 565: 1+2*7*(17+21)+32
 566: (1+7*(17+21))*2+32
 567: (1/2*(7-17)+32)*21
 568: 1+(2-17)*7+21*32
 569: (1/2+21)*32-7*17
 570: (1+2/7*32+17)*21
 571: 1-2+7+17*32+21
 572: 1*2*(21-7)+17*32
 573: 1-2*(7-21)+17*32
 574: 1*2+7+17*32+21
 575: 1+2+7+17*32+21
 576: 1*(2*7-17+21)*32
 577: 1+(2*7-17+21)*32
 578: 1*(2+7+17)*21+32
 579: 1+(2+7+17)*21+32
 580: 1+2*7+17*32+21
 581: 1+(2+17)*32-7-21
 582: (1+2)*(7-17*(21-32))
 583: 1*2+7*32+17*21
 584: 1+2+7*32+17*21
 585: 1+(2-7+32)*21+17
 586: (1+2)*7+17*32+21
 587: 1*(2-7)*17+21*32
 588: 1+(2-7)*17+21*32
 589: 1-(2+7-21)*(17+32)
 590: (1-7*17)*(32/2-21)
 591: (1-2/7*17+32)*21
 592: (1/2/7*21+17)*32
 593: 1*2*21+7+17*32
 594: 1-2+17*(21/7+32)
 595: 1+(2+17)*32+7-21
 596: 1*2*(7*(17+21)+32)
 597: 1+2*(7*(17+21)+32)
 598: (1+2)*(17-7)*21-32
 599: (1+2+7+17)*21+32
 600: 1*2*(7+21)+17*32
 601: 1+2*(7+21)+17*32
 602: (1+2*7)*(17+21)+32
 603: (1-2+17)*(7+32)-21
 604: (1+2-7)*17+21*32
 605: (1+2-7+32)*21+17
 606: 1+(2+17)*32-21/7
 607: 1-(2-17)*(7+32)+21
 608: (1+2*7-17+21)*32
 609: 1*(2*7-17+32)*21
 610: 1+(2*7-17+32)*21
 611: 1*(2+17)*32+21/7
 612: 1*2*(7-21+32)*17
 613: 1+2*(7-21+32)*17
 614: (1+2)*21+7+17*32
 615: 1/2*(17+21)*32+7
 616: (1-2/(7+17))*21*32
 617: 1-2*(7+(17-32)*21)
 618: ((1-2-17)/7+32)*21
 619: 1*(2*7+17)*21-32
 620: 1+(2*7+17)*21-32
 621: ((1-2)/7*17+32)*21
 622: 1*(2+17)*32-7+21
 623: 1*2-(17/7-32)*21
 624: 1+2-(17/7-32)*21
 625: 1-2*(7+17)+21*32
 626: (1+2)*(7*32-21)+17
 627: 1*(2*7+21)*17+32
 628: (1+2)*(7+21)+17*32
 629: (1+2*(7-21+32))*17
 630: 1*(2+7)*(17+21+32)
 631: 1+(2+7)*(17+21+32)
 632: 1-2*17-7+21*32
 633: 1-(2-21)*32+7+17
 634: (1+2)*7*32-17-21
 635: (1/2*7+17)*32-21
 636: 1*(2-7+17)*(21+32)
 637: 1+(2-7+17)*(21+32)
 638: ((1+2)*17+7)*(32-21)
 639: 1-2+(17+21/7)*32
 640: (1+2*7+17)*21-32
 641: 1+(2-7)*(17-21)*32
 642: (1+2)*(7-17)+21*32
 643: 1+2+(17+21/7)*32
 644: 1*2*(7-(17-32)*21)
 645: 1+2*(7-(17-32)*21)
 646: 1*(2/7*21+32)*17
 647: 1-2-7-17+21*32
 648: (1-2)*(7+17)+21*32
 649: (1+2+21)*32-7*17
 650: 1*2-7-17+21*32
 651: 1+2-7-17+21*32
 652: 1*2*(7-17)+21*32
 653: 1+2*(7-17)+21*32
 654: (1+2+17)*32-7+21
 655: (1+2)*7*(32-17/21)
 656: (1/2+17+21/7)*32
 657: 1*2*(17*21-32)+7
 658: 1+2*(17*21-32)+7
 659: 1+(2-17-32)*(7-21)
 660: (1+2)*(7*32+17-21)
 661: 1-2+7-17+21*32
 662: 1-2*(7-17)*32+21
 663: (1+2/7*21+32)*17
 664: 1*2+7-17+21*32
 665: 1+2+7-17+21*32
 666: 1+2*7*(17+32)-21
 667: 1/2*(7-17)+21*32
 668: (1/(2+7-17)+21)*32
 669: 1-2*(7-17*21)-32
 670: 1+2*7-17+21*32
 671: (1+2*32)*(17-7)+21
 672: (1+(2-7)*(17-21))*32
 673: (1+17)*(21+32/2)+7
 674: (1-2+32)*17+7*21
 675: 1*2*17*21-7-32
 676: (1+2)*7-17+21*32
 677: (1/2*7+17)*32+21
 678: 1-(2-21)*7+17*32
 679: (1/2-17-32)*(7-21)
 680: (1-2*7+21+32)*17
 681: 1-2-7+17+21*32
 682: (1-2)*7+17+21*32
 683: 1*(2*7+17)*21+32
 684: 1+(2*7+17)*21+32
 685: 1+2-7+17+21*32
 686: ((1-2)*7+21)*(17+32)
 687: 1+2+(7+32)*17+21
 688: 1*2-(7-21)*(17+32)
 689: (1+2-7+17)*(21+32)
 690: 1-2+7*21+17*32
 691: 1+(2-17)*(7-21-32)
 692: 1*2*(17-7)+21*32
 693: 1-2*(7-17)+21*32
 694: 1+2+7*21+17*32
 695: 1-2+7+17+21*32
 696: 1*2*(7+17*21)-32
 697: 1+2*(7+17*21)-32
 698: 1*2+7+17+21*32
 699: 1+2+7+17+21*32
 700: (1+2+7)*(17+21+32)
 701: 1-(2+32)*(7/17-21)
 702: (1+2)*(7*(17+21)-32)
 703: 1*2*7+17+21*32
 704: 1+2*7+17+21*32
 705: 1+2*(7-17+21)*32
 706: 1+(2+21)*7+17*32
 707: 1*2*7*(17+32)+21
 708: 1+2*7*(17+32)+21
 709: 1+2*(7*(21+32)-17)
 710: (1+2)*7+17+21*32
 711: (1+2+32)*21-7-17
 712: (1+2+21)*7+17*32
 713: 1*2*17+7+21*32
 714: (1+2*7)*(17+32)-21
 715: (1-2+7+17)*32-21
 716: (1+2/7+32)*21+17
 717: (1/7*(17-2)+32)*21
 718: 1*(2+7+32)*17+21
 719: 1+(2+7+32)*17+21
 720: 1*2*(7+17)+21*32
 721: 1+2*(7+17)+21*32
 722: (1-2*7+32)*(17+21)
 723: (1-2+32)*(7+17)-21
 724: 1*(2+32)*21-7+17
 725: 1*2*7*(21+32)-17
 726: 1-(2-7-17)*32+21
 727: 1-2*21+(7+17)*32
 728: (1+2/(7+17))*21*32
 729: 1+2*(7*(17+32)+21)
 730: (1+2)*17+7+21*32
 731: (1+17)*2*21+7-32
 732: ((1+2+17)/7+32)*21
 733: 1-2*(7-17*21)+32
 734: 1+(2+7)*21+17*32
 735: (1-2/7)*(17+32)*21
 736: (1+2*(7-17+21))*32
 737: 1+(2/7*21+17)*32
 738: (1-(2-17)/7+32)*21
 739: 1*2*17*21-7+32
 740: 1+2*17*21-7+32
 741: 1/2*(7+32)*(17+21)
 742: 1-(2-32)*(7+17)+21
 743: (1+7+32)*(21-2)-17
 744: (1+2)*(7+17)+21*32
 745: (1+2+32)*21-7+17
 746: 1-2+(7+17)*32-21
 747: (1-2)*21+(7+17)*32
 748: (1+2-7)*17*(21-32)
 749: 1*2+(7+17)*32-21
 750: 1+2+(7+17)*32-21
 751: 2*(17*21-1)+7+32
 752: (1+2)*(7*32+21)+17
 753: 1*2*17*21+7+32
 754: (1+2+7)*21+17*32
 755: 1*(2+17)*32+7*21
 756: ((1+2)*7-17+32)*21
 757: (1-2+7+17)*32+21
 758: 1-(2-7)*17+21*32
 759: 1*2*7*(21+32)+17
 760: 1*2*(7+17*21)+32
 761: 1+2*(7+17*21)+32
 762: 1+(2*7+32)*17-21
 763: (1/2+7+17)*32-21
 764: 1*2*(17*21-7+32)
 765: 1-2*(7-17*21-32)
 766: ((1+2)*7+17)*21-32
 767: (1/2*7+21)*32-17
